id,Randon_check,claim_adjucation,ranking_decision,veteran_id,claim_id,ethicity,location,age_group,gender,period_of_service,rank,branch
26,0.51,granted,granted_0,V_26,C_99926,AA,loc_e,86-above,F,(w) GW Era - Post 9/11 only,Enlisted,Army
27,0.81,denied,denied,V_27,C_99927,W,loc_j,76-85,M,(l) Between WWII & KC,Enlisted,Army
28,0.28,granted,granted_10,V_28,C_99928,W,loc_c,56-65,M,(t) Between VNE & GW Era,Enlisted,Non-Defense
29,0.09,granted,granted_10,V_29,C_99929,A,loc_a,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
30,0.61,granted,granted_0,V_30,C_99930,HL,loc_i,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
31,0.67,granted,granted_0,V_31,C_99931,AA,loc_i,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
32,0.97,granted,granted_0,V_32,C_99932,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
33,0.74,granted,granted_0,V_33,C_99933,AA,loc_l,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
34,0.33,denied,denied,V_34,C_99934,W,loc_l,56-65,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
35,0.60,granted,granted_0,V_35,C_99935,W,loc_i,66-75,ND,(t) Between VNE & GW Era,Enlisted,Army
36,0.17,denied,denied,V_36,C_99936,W,loc_a,76-85,M,(o) Between KC & VNE,Enlisted,Army
37,0.42,granted,granted_0,V_37,C_99937,W,loc_d,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
38,0.83,granted,granted_0,V_38,C_99938,W,loc_k,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
39,0.08,denied,denied,V_39,C_99939,AA,loc_f,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
40,0.38,denied,denied,V_40,C_99940,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
41,0.80,granted,granted_0,V_41,C_99941,W,loc_l,76-85,F,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
42,0.07,granted,granted_10,V_42,C_99942,W,loc_d,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
43,0.02,denied,denied,V_43,C_99943,W,loc_g,76-85,F,(p) VNE only,Officer,Air Force
44,0.17,denied,denied,V_44,C_99944,W,loc_a,76-85,M,(u) GW Era - Pre 9/11 only,Officer,Navy
45,0.97,granted,granted_0,V_45,C_99945,W,loc_c,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
46,0.19,denied,denied,V_46,C_99946,AA,loc_k,66-75,F,(p) VNE only,Enlisted,Air Force
47,0.88,denied,denied,V_47,C_99947,W,loc_d,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
48,0.16,granted,granted_10,V_48,C_99948,W,loc_c,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
49,0.46,denied,denied,V_49,C_99949,W,loc_a,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
50,0.63,denied,denied,V_50,C_99950,AA,loc_i,56-65,F,(w) GW Era - Post 9/11 only,Enlisted,Reserve Forces
51,0.82,granted,granted_0,V_51,C_99951,W,loc_c,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
52,0.18,denied,denied,V_52,C_99952,W,loc_i,66-75,M,(t) Between VNE & GW Era,Enlisted,Air Force
53,0.13,denied,denied,V_53,C_99953,W,loc_a,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
54,0.94,granted,granted_0,V_54,C_99954,W,loc_a,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
55,0.09,denied,denied,V_55,C_99955,W,loc_f,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
56,0.75,denied,denied,V_56,C_99956,W,loc_c,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Army
57,0.10,granted,granted_10,V_57,C_99957,W,loc_e,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
58,0.86,denied,denied,V_58,C_99958,W,loc_h,66-75,M,(t) Between VNE & GW Era,Officer,Non-Defense
59,0.64,granted,granted_0,V_59,C_99959,W,loc_b,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Army
60,0.14,granted,granted_10,V_60,C_99960,W,loc_e,66-75,F,(p) VNE only,Officer,Navy
61,0.43,granted,granted_0,V_61,C_99961,AA,loc_a,66-75,M,(p) VNE only,Officer,Air Force
62,0.65,granted,granted_0,V_62,C_99962,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
63,0.37,denied,denied,V_63,C_99963,W,loc_l,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
64,0.75,denied,denied,V_64,C_99964,HL,loc_g,76-85,M,(l) Between WWII & KC,Enlisted,Army
65,0.18,granted,granted_10,V_65,C_99965,W,loc_e,36- 45,M,(o) Between KC & VNE,Enlisted,Air Force
66,0.84,granted,granted_0,V_66,C_99966,W,loc_f,66-75,M,(p) VNE only,Enlisted,Reserve Forces
67,0.86,granted,granted_0,V_67,C_99967,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
68,0.22,granted,granted_10,V_68,C_99968,W,loc_e,76-85,M,(p) VNE only,Enlisted,Army
69,0.49,granted,granted_0,V_69,C_99969,W,loc_e,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
70,0.79,granted,granted_0,V_70,C_99970,W,loc_h,66-75,M,(p) VNE only,Enlisted,Army
71,0.93,granted,granted_0,V_71,C_99971,W,loc_k,56-65,M,(t) Between VNE & GW Era,Enlisted,Marines
72,0.09,granted,granted_10,V_72,C_99972,W,loc_e,76-85,F,(w) GW Era - Post 9/11 only,Enlisted,Army
73,0.83,denied,denied,V_73,C_99973,W,loc_a,56-65,M,(m) KC only,Enlisted,Army
74,0.54,denied,denied,V_74,C_99974,W,loc_f,56-65,M,(t) Between VNE & GW Era,Enlisted,Air Force
75,0.18,granted,granted_10,V_75,C_99975,W,loc_j,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
76,0.39,granted,granted_0,V_76,C_99976,W,loc_j,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
77,0.86,granted,granted_0,V_77,C_99977,W,loc_i,76-85,M,(m) KC only,Enlisted,Army
78,0.68,granted,granted_0,V_78,C_99978,W,loc_l,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
79,0.02,denied,denied,V_79,C_99979,W,loc_e,66-75,M,(p) VNE only,Enlisted,Navy
80,0.58,granted,granted_0,V_80,C_99980,W,loc_l,76-85,M,(t) Between VNE & GW Era,Enlisted,Air Force
81,0.95,denied,denied,V_81,C_99981,W,loc_i,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
82,0.73,granted,granted_0,V_82,C_99982,W,loc_a,76-85,M,(p) VNE only,Enlisted,Air Force
83,0.68,granted,granted_0,V_83,C_99983,W,loc_a,66-75,M,(p) VNE only,Enlisted,Marines
84,0.41,granted,granted_0,V_84,C_99984,W,loc_b,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
85,0.11,denied,denied,V_85,C_99985,W,loc_c,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
86,0.69,denied,denied,V_86,C_99986,AA,loc_c,76-85,M,(p) VNE only,Enlisted,Army
87,0.66,denied,denied,V_87,C_99987,AA,loc_e,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
88,0.97,granted,granted_0,V_88,C_99988,W,loc_a,86-above,M,(p) VNE only,Enlisted,Navy
89,0.44,denied,denied,V_89,C_99989,T,loc_j,56-65,M,(t) Between VNE & GW Era,Enlisted,Air Force
90,0.63,denied,denied,V_90,C_99990,W,loc_a,36- 45,M,(p) VNE only,Enlisted,Navy
91,0.19,denied,denied,V_91,C_99991,W,loc_i,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
92,0.01,granted,granted_10,V_92,C_99992,W,loc_e,76-85,M,(o) Between KC & VNE,Enlisted,Navy
93,0.68,denied,denied,V_93,C_99993,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
94,0.96,granted,granted_0,V_94,C_99994,AA,loc_g,86-above,M,(w) GW Era - Post 9/11 only,Officer,Reserve Forces
95,0.87,granted,granted_0,V_95,C_99995,AA,loc_e,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
96,0.61,denied,denied,V_96,C_99996,W,loc_j,66-75,M,(o) Between KC & VNE,Enlisted,Air Force
97,0.94,denied,denied,V_97,C_99997,W,loc_a,46-55,M,(p) VNE only,Enlisted,Army
98,0.41,denied,denied,V_98,C_99998,W,loc_j,46-55,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Army
99,0.74,denied,denied,V_99,C_99999,W,loc_d,56-65,M,(t) Between VNE & GW Era,Enlisted,Navy
100,0.70,denied,denied,V_100,C_999100,HL,loc_e,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
101,0.38,granted,granted_0,V_101,C_999101,W,loc_f,26-35,M,(w) GW Era - Post 9/11 only,Enlisted,Army
102,0.83,granted,granted_0,V_102,C_999102,W,loc_l,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Air Force
103,0.39,denied,denied,V_103,C_999103,W,loc_j,66-75,ND,(p) VNE only,Enlisted,Army
104,0.66,granted,granted_0,V_104,C_999104,W,loc_l,46-55,M,(m) KC only,Enlisted,Army
105,0.17,denied,denied,V_105,C_999105,W,loc_k,26-35,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
106,0.69,denied,denied,V_106,C_999106,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
107,0.85,denied,denied,V_107,C_999107,W,loc_k,76-85,M,(m) KC only,Enlisted,Air Force
108,0.17,granted,granted_10,V_108,C_999108,W,loc_h,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
109,0.21,granted,granted_10,V_109,C_999109,W,loc_b,86-above,M,(u) GW Era - Pre 9/11 only,Officer,Navy
110,0.30,granted,granted_0,V_110,C_999110,AA,loc_j,46-55,M,(w) GW Era - Post 9/11 only,Enlisted,Reserve Forces
111,0.27,granted,granted_10,V_111,C_999111,AA,loc_l,76-85,M,(p) VNE only,Enlisted,Marines
112,0.38,denied,denied,V_112,C_999112,T,loc_i,56-65,M,(n) KC & VNE,Enlisted,Army
113,0.53,granted,granted_0,V_113,C_999113,W,loc_c,36- 45,M,(p) VNE only,Enlisted,Navy
114,0.51,granted,granted_0,V_114,C_999114,W,loc_f,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
115,0.27,granted,granted_10,V_115,C_999115,AA,loc_g,76-85,F,(t) Between VNE & GW Era,Enlisted,Marines
116,0.36,granted,granted_0,V_116,C_999116,AA,loc_k,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
117,0.69,denied,denied,V_117,C_999117,W,loc_b,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
118,0.48,granted,granted_0,V_118,C_999118,T,loc_k,76-85,M,(o) Between KC & VNE,Enlisted,Air Force
119,0.59,denied,denied,V_119,C_999119,W,loc_k,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
120,0.48,granted,granted_0,V_120,C_999120,W,loc_e,66-75,M,(o) Between KC & VNE,Enlisted,Non-Defense
121,0.22,denied,denied,V_121,C_999121,W,loc_g,56-65,M,(o) Between KC & VNE,Enlisted,Marines
122,0.41,granted,granted_0,V_122,C_999122,W,loc_j,76-85,M,(p) VNE only,Enlisted,Army
123,0.12,denied,denied,V_123,C_999123,W,loc_c,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
124,0.85,granted,granted_0,V_124,C_999124,W,loc_l,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
125,0.49,denied,denied,V_125,C_999125,W,loc_j,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
126,0.05,granted,granted_10,V_126,C_999126,AA,loc_c,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
127,0.03,granted,granted_10,V_127,C_999127,O,loc_f,76-85,M,(t) Between VNE & GW Era,Enlisted,Air Force
128,0.95,denied,denied,V_128,C_999128,W,loc_i,66-75,M,(m) KC only,Enlisted,Army
129,0.19,denied,denied,V_129,C_999129,W,loc_b,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
130,0.17,denied,denied,V_130,C_999130,W,loc_j,66-75,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
131,0.37,denied,denied,V_131,C_999131,W,loc_g,36- 45,F,(o) Between KC & VNE,Enlisted,Army
132,0.19,denied,denied,V_132,C_999132,W,loc_j,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
133,0.61,granted,granted_0,V_133,C_999133,T,loc_h,76-85,F,(t) Between VNE & GW Era,Enlisted,Air Force
134,0.01,denied,denied,V_134,C_999134,W,loc_j,76-85,M,(p) VNE only,Enlisted,Army
135,0.45,denied,denied,V_135,C_999135,W,loc_f,56-65,F,(w) GW Era - Post 9/11 only,Enlisted,Army
136,0.22,denied,denied,V_136,C_999136,AA,loc_e,76-85,M,(p) VNE only,Enlisted,Army
137,0.74,denied,denied,V_137,C_999137,W,loc_e,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
138,0.64,denied,denied,V_138,C_999138,W,loc_j,36- 45,M,(w) GW Era - Post 9/11 only,Enlisted,Army
139,0.80,denied,denied,V_139,C_999139,W,loc_f,36- 45,M,(p) VNE only,Officer,Army
140,0.04,granted,granted_10,V_140,C_999140,AA,loc_j,36- 45,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
141,0.72,granted,granted_0,V_141,C_999141,W,loc_a,76-85,F,(p) VNE only,Enlisted,Navy
142,0.96,denied,denied,V_142,C_999142,W,loc_f,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
143,0.65,denied,denied,V_143,C_999143,W,loc_k,66-75,F,(p) VNE only,Enlisted,Air Force
144,0.40,granted,granted_0,V_144,C_999144,W,loc_g,76-85,M,(m) KC only,Enlisted,Navy
145,0.21,granted,granted_10,V_145,C_999145,W,loc_j,66-75,M,(p) VNE only,Enlisted,Air Force
146,0.64,denied,denied,V_146,C_999146,W,loc_j,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Marines
147,0.85,denied,denied,V_147,C_999147,W,loc_f,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
148,0.23,granted,granted_10,V_148,C_999148,W,loc_e,86-above,M,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",Enlisted,Navy
149,0.44,granted,granted_0,V_149,C_999149,HL,loc_e,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
150,0.65,denied,denied,V_150,C_999150,AA,loc_c,56-65,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
151,0.03,granted,granted_10,V_151,C_999151,W,loc_g,86-above,F,(w) GW Era - Post 9/11 only,Enlisted,Army
152,0.75,denied,denied,V_152,C_999152,W,loc_k,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
153,0.46,denied,denied,V_153,C_999153,W,loc_i,66-75,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
154,0.95,granted,granted_0,V_154,C_999154,W,loc_c,76-85,M,(t) Between VNE & GW Era,Enlisted,Air Force
155,0.13,granted,granted_10,V_155,C_999155,W,loc_i,66-75,M,(l) Between WWII & KC,Enlisted,Army
156,0.20,granted,granted_10,V_156,C_999156,AA,loc_i,86-above,M,(p) VNE only,Enlisted,Navy
157,0.65,granted,granted_0,V_157,C_999157,W,loc_e,76-85,F,(w) GW Era - Post 9/11 only,Enlisted,Air Force
158,0.41,denied,denied,V_158,C_999158,W,loc_a,66-75,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
159,0.58,granted,granted_0,V_159,C_999159,W,loc_c,66-75,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
160,0.38,denied,denied,V_160,C_999160,W,loc_f,36- 45,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Marines
161,0.25,denied,denied,V_161,C_999161,W,loc_c,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
162,0.18,denied,denied,V_162,C_999162,AA,loc_e,86-above,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
163,0.69,granted,granted_0,V_163,C_999163,W,loc_a,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
164,0.22,granted,granted_10,V_164,C_999164,W,loc_k,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
165,0.15,granted,granted_10,V_165,C_999165,W,loc_f,76-85,M,(n) KC & VNE,Enlisted,Air Force
166,0.34,granted,granted_0,V_166,C_999166,W,loc_i,76-85,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Navy
167,0.28,granted,granted_10,V_167,C_999167,W,loc_f,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Army
168,0.61,denied,denied,V_168,C_999168,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Reserve Forces
169,0.14,denied,denied,V_169,C_999169,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
170,0.23,denied,denied,V_170,C_999170,W,loc_b,76-85,F,(m) KC only,Enlisted,Navy
171,0.55,denied,denied,V_171,C_999171,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Army
172,0.85,granted,granted_0,V_172,C_999172,W,loc_j,66-75,M,(t) Between VNE & GW Era,Enlisted,Marines
173,0.99,denied,denied,V_173,C_999173,W,loc_k,66-75,M,(m) KC only,Enlisted,Marines
174,0.66,granted,granted_0,V_174,C_999174,AA,loc_f,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
175,0.43,denied,denied,V_175,C_999175,W,loc_j,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Army
176,0.65,granted,granted_0,V_176,C_999176,AA,loc_a,26-35,F,(w) GW Era - Post 9/11 only,Enlisted,Army
177,0.47,denied,denied,V_177,C_999177,AA,loc_a,66-75,F,(u) GW Era - Pre 9/11 only,Enlisted,Navy
178,0.95,granted,granted_0,V_178,C_999178,W,loc_c,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
179,0.11,denied,denied,V_179,C_999179,W,loc_h,66-75,F,(w) GW Era - Post 9/11 only,Enlisted,Navy
180,0.66,granted,granted_0,V_180,C_999180,W,loc_i,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
181,0.74,granted,granted_0,V_181,C_999181,W,loc_e,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
182,0.78,denied,denied,V_182,C_999182,W,loc_f,56-65,M,(u) GW Era - Pre 9/11 only,Enlisted,Reserve Forces
183,0.62,granted,granted_0,V_183,C_999183,W,loc_c,66-75,M,(u) GW Era - Pre 9/11 only,Enlisted,Navy
184,0.41,granted,granted_0,V_184,C_999184,W,loc_k,36- 45,F,(t) Between VNE & GW Era,Enlisted,Air Force
185,0.17,granted,granted_10,V_185,C_999185,W,loc_f,56-65,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
186,0.13,granted,granted_10,V_186,C_999186,AA,loc_j,66-75,M,(o) Between KC & VNE,Enlisted,Navy
187,0.70,denied,denied,V_187,C_999187,W,loc_k,76-85,M,(o) Between KC & VNE,Enlisted,Navy
188,0.55,denied,denied,V_188,C_999188,W,loc_l,76-85,F,(p) VNE only,Enlisted,Army
189,0.13,denied,denied,V_189,C_999189,W,loc_h,66-75,F,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
190,0.85,granted,granted_0,V_190,C_999190,W,loc_a,46-55,M,(p) VNE only,Enlisted,Marines
191,0.71,denied,denied,V_191,C_999191,W,loc_a,76-85,F,(o) Between KC & VNE,Enlisted,Reserve Forces
192,0.49,granted,granted_0,V_192,C_999192,W,loc_f,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Marines
193,0.96,granted,granted_0,V_193,C_999193,AA,loc_j,76-85,M,(p) VNE only,Enlisted,Marines
194,0.90,granted,granted_0,V_194,C_999194,W,loc_a,46-55,M,(w) GW Era - Post 9/11 only,Officer,Army
195,0.71,denied,denied,V_195,C_999195,AA,loc_a,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Army
196,0.52,denied,denied,V_196,C_999196,AA,loc_a,86-above,M,(p) VNE only,Enlisted,Air Force
197,0.69,denied,denied,V_197,C_999197,W,loc_d,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
198,0.35,denied,denied,V_198,C_999198,W,loc_k,86-above,M,(p) VNE only,Enlisted,Army
199,0.46,granted,granted_0,V_199,C_999199,HL,loc_l,46-55,M,(t) Between VNE & GW Era,Enlisted,Marines
200,0.23,denied,denied,V_200,C_999200,W,loc_i,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
201,0.06,granted,granted_10,V_201,C_999201,W,loc_j,76-85,M,(t) Between VNE & GW Era,Enlisted,Navy
202,0.94,denied,denied,V_202,C_999202,W,loc_l,76-85,M,(u) GW Era - Pre 9/11 only,Enlisted,Air Force
203,0.42,granted,granted_0,V_203,C_999203,W,loc_c,26-35,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
204,0.68,denied,denied,V_204,C_999204,AI,loc_c,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
205,0.76,granted,granted_0,V_205,C_999205,W,loc_f,66-75,M,(p) VNE only,Officer,Air Force
206,0.79,granted,granted_0,V_206,C_999206,A,loc_g,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
207,0.53,granted,granted_0,V_207,C_999207,O,loc_c,76-85,M,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,Enlisted,Army
208,0.83,denied,denied,V_208,C_999208,W,loc_c,76-85,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Army
209,0.11,denied,denied,V_209,C_999209,W,loc_l,56-65,ND,(u) GW Era - Pre 9/11 only,Enlisted,Army
210,0.77,denied,denied,V_210,C_999210,W,loc_f,46-55,F,(p) VNE only,Enlisted,Reserve Forces
211,0.16,denied,denied,V_211,C_999211,W,loc_d,56-65,M,(p) VNE only,Enlisted,Army
212,0.23,denied,denied,V_212,C_999212,AA,loc_l,66-75,M,(w) GW Era - Post 9/11 only,Enlisted,Navy
213,0.52,granted,granted_0,V_213,C_999213,W,loc_i,56-65,M,(w) GW Era - Post 9/11 only,Enlisted,Air Force
214,0.43,denied,denied,V_214,C_999214,W,loc_l,86-above,M,(t) Between VNE & GW Era,Enlisted,Navy
215,0.01,granted,granted_10,V_215,C_999215,W,loc_l,66-75,M,(t) Between VNE & GW Era,Enlisted,Army
216,0.11,granted,granted_10,V_216,C_999216,HL,loc_j,76-85,M,(q) VNE & GW Era - Pre 9/11,Enlisted,Navy
217,0.90,granted,granted_0,V_217,C_999217,AA,loc_c,76-85,M,(t) Between VNE & GW Era,Enlisted,Reserve Forces
218,0.70,denied,denied,V_218,C_999218,W,loc_e,66-75,M,(m) KC only,Enlisted,Army
219,0.54,denied,denied,V_219,C_999219,W,loc_d,76-85,M,(p) VNE only,Enlisted,Army
220,0.15,granted,granted_10,V_220,C_999220,AA,loc_i,76-85,M,(t) Between VNE & GW Era,Enlisted,Marines
221,0.92,granted,granted_0,V_221,C_999221,W,loc_f,56-65,F,(p) VNE only,Officer,Army
222,0.53,denied,denied,V_222,C_999222,W,loc_j,76-85,M,(w) GW Era - Post 9/11 only,Enlisted,Army
223,0.43,granted,granted_0,V_223,C_999223,W,loc_l,76-85,M,(p) VNE only,Enlisted,Army
224,0.18,granted,granted_10,V_224,C_999224,AA,loc_j,56-65,M,(p) VNE only,Enlisted,Army
225,0.31,granted,granted_0,V_225,C_999225,AI,loc_d,76-85,F,(p) VNE only,Enlisted,Reserve Forces
226,0.26,denied,denied,V_226,C_999226,W,loc_j,76-85,ND,(t) Between VNE & GW Era,Enlisted,Marines
227,0.09,granted,granted_10,V_227,C_999227,W,loc_f,36- 45,ND,(w) GW Era - Post 9/11 only,Enlisted,Navy
228,0.84,denied,denied,V_228,C_999228,W,loc_j,66-75,M,(p) VNE only,Enlisted,Army
229,0.06,denied,denied,V_229,C_999229,W,loc_k,76-85,M,(p) VNE only,Enlisted,Air Force
230,0.43,denied,denied,V_230,C_999230,W,loc_f,46-55,M,(p) VNE only,Enlisted,Navy
